CustomerID,Recency,Tenure,Frequency,Monetary
12346.0,5202,0,2,5342.4
12347.0,4879,365,7,431501.0
12348.0,4952,282,4,82378.47
12349.0,4895,0,1,176075.12
12350.0,5187,0,1,48173.37
12352.0,4913,260,11,241567.46
12353.0,5081,0,1,4357.89
12354.0,5109,0,1,161522.49
12355.0,5091,0,1,37648.28
12356.0,4899,302,3,161617.98
12357.0,4910,0,1,366359.39999999997
12358.0,4878,149,2,39673.670000000006
12359.0,4884,323,6,672864.29
12360.0,4929,148,3,306242.38
12361.0,5164,0,1,30437.8
12362.0,4880,292,13,688511.11
12363.0,4986,132,2,53756.56
12364.0,4884,104,4,215049.54
12365.0,5168,0,3,59638.3
12367.0,4881,0,1,25839.440000000002
12370.0,4928,309,4,417753.02999999997
12371.0,4921,14,2,167307.32
12372.0,4948,224,3,115169.81
12373.0,5188,0,1,28312.370000000003
12374.0,4902,0,1,66577.75
12375.0,4879,95,3,36360.4
12377.0,5192,39,2,164885.7
12378.0,5006,0,1,604145.45
12379.0,4958,88,3,105708.76
12380.0,4898,164,5,283392.46
12381.0,4881,115,6,206368.76
12383.0,5061,167,6,222610.77
12384.0,4905,92,3,66557.46
12386.0,5214,29,2,28316.56
12388.0,4892,311,6,252667.99
12390.0,4956,0,1,66785.3
12391.0,4898,0,1,253598.89
12393.0,4949,260,4,178735.91
12394.0,4940,153,2,60148.57
12395.0,4892,355,15,427347.96
12397.0,4912,99,2,278068.08999999997
12398.0,4922,0,1,204266.06
12399.0,4996,142,4,158016.72
12401.0,5180,0,1,17283.4
12402.0,5200,0,1,36552.16
12403.0,4926,0,2,13749.32
12405.0,5025,0,1,122187.79000000001
12406.0,4899,161,3,310029.79
12407.0,4926,214,5,186352.68
12408.0,4909,227,9,253373.33
12409.0,4955,103,7,324698.54
12410.0,5178,7,3,61744.66
12412.0,4951,94,3,159888.55000000002
12413.0,4943,270,5,109854.74
12414.0,5094,93,3,55774.39
12415.0,4901,313,26,1944187.0
12417.0,4880,354,12,532728.74
12418.0,4989,0,1,108728.73
12420.0,4940,0,1,60791.87
12421.0,4892,303,5,120314.6
12422.0,4972,229,3,89740.0
12423.0,4877,352,9,299025.94
12424.0,5039,0,2,66385.45
12425.0,4955,0,1,101635.55
12426.0,5071,0,1,64423.78
12427.0,4888,360,5,105999.6
12428.0,4902,257,12,780310.63
12429.0,4886,356,4,219920.34
12430.0,4920,0,1,13697.39
12431.0,4912,338,18,541433.7
12432.0,4919,129,5,306154.57
12433.0,4877,372,7,1041010.62
12434.0,4961,276,4,152672.79
12435.0,4956,188,2,101148.54
12436.0,4976,0,1,37832.96
12437.0,4878,329,19,517110.85
12438.0,4891,125,2,272767.92
12441.0,5243,0,1,40781.32
12442.0,4880,0,1,21563.65
12444.0,4898,149,5,456209.69
12445.0,4899,0,1,9383.41
12446.0,4934,0,1,112599.03
12447.0,5120,0,1,66037.09
12448.0,4921,0,1,55133.65
12449.0,4899,164,4,445251.36
12450.0,5033,17,2,20098.9
12451.0,4887,313,6,817653.44
12452.0,4893,0,3,42101.1
12453.0,5011,0,1,119409.38
12454.0,4930,2,2,82346.66
12455.0,4950,223,6,229091.6
12456.0,4921,210,4,382840.43
12457.0,4935,180,12,179996.08
12458.0,4948,213,2,87334.81
12461.0,4971,60,2,93725.56999999999
12462.0,4879,300,4,196093.01
12463.0,4923,195,7,247879.52
12464.0,4887,299,8,60952.03
12465.0,4884,161,3,111615.44
12468.0,5020,173,3,104308.31
12471.0,4879,370,49,1351390.04
12472.0,4907,342,13,927503.2
12473.0,4906,162,9,467491.63
12474.0,4894,351,30,1198462.21
12475.0,4930,0,1,82538.12
12476.0,4878,359,20,671115.8
12477.0,4899,288,9,799397.41
12478.0,4880,0,1,100444.79
12479.0,4880,7,3,99937.72
12480.0,4905,307,4,390183.74
12481.0,4899,342,11,567524.67
12483.0,4894,322,13,198902.62
12484.0,4909,303,8,856352.98
12488.0,4886,65,3,116253.34
12489.0,5213,0,1,30462.03
12490.0,4882,324,10,630004.55
12491.0,4915,0,1,58867.68
12492.0,4940,42,2,45247.52
12493.0,5042,31,3,58920.39
12494.0,4886,355,13,214807.05
12497.0,4958,0,1,46060.87
12498.0,4898,36,3,55777.82
12500.0,4900,310,13,159061.43
12501.0,5192,21,2,432544.63
12502.0,4972,214,5,369357.34
12503.0,5214,0,1,984.5999999999999
12504.0,4895,12,4,43814.619999999995
12505.0,5178,0,1,4735.36
12506.0,5109,0,1,66333.0
12507.0,5011,164,4,56400.76
12508.0,4903,2,2,172952.53
12509.0,5161,0,1,33776.46
12510.0,5019,182,2,77315.62
12512.0,4943,0,2,64773.0
12513.0,4961,28,2,96874.05
12514.0,5144,0,1,108784.52
12515.0,5230,0,1,26832.8
12516.0,4954,102,2,63849.31
12517.0,4905,161,6,751369.44
12518.0,4877,109,5,340254.36
12519.0,4940,0,1,45401.06
12520.0,4956,194,6,455111.95
12521.0,5019,0,1,91236.31999999999
12522.0,4916,12,2,31564.38
12523.0,4878,330,13,257626.78
12524.0,4886,324,8,389618.3
12526.0,4877,93,3,165732.83
12527.0,4958,243,3,57273.36
12528.0,4886,303,8,241009.11
12530.0,4936,277,5,167080.12
12531.0,4891,0,1,37309.4
12532.0,4907,0,1,36965.63
12534.0,5007,0,1,145122.73
12535.0,4968,94,2,76617.2
12536.0,4884,51,5,655384.95
12538.0,4906,0,1,49731.35
12539.0,4899,311,5,644016.77
12540.0,4896,342,19,1123549.76
12541.0,4906,251,3,118408.69
